date,prcp,t_median,gwl_median
2015-01-01,0.0,27.0,17.335
2015-01-02,0.0,32.5,17.455
2015-01-03,0.81,42.5,17.235
2015-01-04,0.01,29.0,16.71
2015-01-05,0.1,10.0,16.105
2015-01-06,0.08,13.5,16.17
2015-01-07,0.0,3.5,16.435000000000002
2015-01-08,0.0,7.0,15.864999999999998
2015-01-09,0.0,12.5,16.305
2015-01-10,0.0,11.0,16.244999999999997
2015-01-11,0.38,29.5,16.37
2015-01-12,0.18,25.0,16.33
2015-01-13,0.0,15.0,16.384999999999998
2015-01-14,0.0,11.5,16.605
2015-01-15,0.0,23.5,16.775
2015-01-16,0.0,32.5,16.93
2015-01-17,0.0,40.0,17.1
2015-01-18,0.01,34.5,16.97
2015-01-19,0.0,34.5,16.325
2015-01-20,0.0,41.0,16.245
2015-01-21,0.01,37.5,16.54
2015-01-22,0.0,31.5,16.619999999999997
2015-01-23,0.0,31.0,16.72
2015-01-24,0.0,32.5,16.89
2015-01-25,0.05,29.5,17.06
2015-01-26,0.0,23.0,17.145
2015-01-27,0.01,24.5,17.225
2015-01-28,0.0,25.5,17.335
2015-01-29,0.0,38.5,17.465
2015-01-30,0.0,26.0,17.56
2015-01-31,0.11,27.0,17.585
2015-02-01,0.25,31.5,17.585
2015-02-02,0.0,21.0,17.560000000000002
2015-02-03,0.0,24.0,17.490000000000002
2015-02-04,0.03,26.5,17.490000000000002
2015-02-05,0.0,13.0,17.585
2015-02-06,0.0,23.0,17.67
2015-02-07,0.0,40.0,17.689999999999998
2015-02-08,0.0,45.0,17.505
2015-02-09,0.0,29.5,16.715
2015-02-10,0.0,26.5,16.174999999999997
2015-02-11,0.0,30.5,16.585
2015-02-12,0.0,19.5,16.994999999999997
2015-02-13,0.0,17.5,17.24
2015-02-14,0.0,17.5,17.424999999999997
2015-02-15,0.0,11.0,17.555
2015-02-16,0.01,11.5,17.634999999999998
2015-02-17,0.0,13.5,17.695
2015-02-18,0.02,8.0,17.64
2015-02-19,0.0,1.5,17.795
2015-02-20,0.0,5.0,17.8
2015-02-21,0.27,24.0,17.725
2015-02-22,0.0,20.5,17.73
2015-02-23,0.0,6.5,17.82
2015-02-24,0.0,9.0,17.84
2015-02-25,0.0,22.5,17.854999999999997
2015-02-26,0.0,15.5,17.91
2015-02-27,0.0,8.5,18.020000000000003
2015-02-28,0.15,13.5,18.04
2015-03-01,0.38,25.0,18.0
2015-03-02,0.0,22.5,17.97
2015-03-03,0.4,33.0,17.884999999999998
2015-03-04,0.02,26.5,17.695
2015-03-05,0.0,15.0,17.685
2015-03-11,0.0,48.0,14.93
2015-03-12,0.0,44.0,15.059999999999999
2015-03-13,0.42,46.5,15.51
2015-03-14,0.42,49.5,14.885
2015-03-15,0.0,48.0,13.655
2015-03-16,0.0,60.5,14.045
2015-03-17,0.0,46.5,15.245000000000001
2015-03-18,0.0,36.5,15.940000000000001
2015-03-19,0.04,45.0,16.35
2015-03-20,0.06,43.0,16.62
2015-03-21,0.0,47.5,16.82
2015-03-22,0.0,42.0,16.985
2015-03-23,0.01,34.5,17.125
2015-03-24,0.04,34.5,17.225
2015-03-25,0.71,47.0,17.060000000000002
2015-03-26,0.49,39.0,16.265
2015-03-27,0.0,27.0,15.275
2015-03-28,0.0,28.0,15.315000000000001
2015-03-29,0.08,37.0,16.03
2015-03-30,0.0,48.5,16.439999999999998
2015-03-31,0.0,49.5,16.745
2015-04-01,0.0,51.5,17.095
2015-04-02,0.29,62.0,17.185000000000002
2015-04-03,0.13,49.5,16.785
2015-04-04,0.0,42.0,16.43
2015-04-05,0.0,50.0,16.355
2015-04-06,0.0,54.5,16.560000000000002
2015-04-06,0.0,52.5,16.560000000000002
2015-04-07,0.32,61.0,16.755
2015-04-08,0.74,63.5,16.265
2015-04-09,0.24,70.5,14.985
2015-04-10,0.04,55.5,13.445
2015-04-11,0.0,48.0,13.455
2015-04-12,0.0,56.5,14.775
2015-04-13,0.04,63.5,15.675
2015-04-14,0.0,57.5,16.185
2015-04-15,0.07,57.5,16.535
2015-04-16,0.2,60.5,16.725
2015-04-17,0.0,61.0,16.835
2015-04-18,0.0,63.5,16.965
2015-04-19,0.93,61.5,16.775
2015-04-20,0.14,51.5,15.915
2015-04-21,0.0,51.0,15.165
2015-04-22,0.14,44.0,15.68
2015-04-23,0.0,45.5,16.35
2015-04-24,0.0,45.5,16.75
2015-04-25,0.57,50.0,16.58
2015-04-26,0.0,47.5,15.54
2015-04-27,0.0,46.5,14.975000000000001
2015-04-28,0.0,49.0,15.700000000000001
2015-04-29,0.0,54.0,16.33
2015-04-29,0.0,53.5,16.33
2015-04-30,0.0,52.0,16.655
2015-05-01,0.0,55.0,16.85
2015-05-02,0.0,62.0,17.015
2015-05-03,0.0,65.5,17.13
2015-05-04,0.13,67.0,17.235
2015-05-05,0.0,72.5,17.04
2015-05-06,0.0,73.5,16.490000000000002
2015-05-07,0.0,75.0,16.415
2015-05-08,0.0,74.0,16.87
2015-05-09,0.05,73.0,17.085
2015-05-10,0.05,73.5,16.915
2015-05-11,0.06,69.5,16.465
2015-05-12,0.0,57.0,16.555
2015-05-13,0.0,55.0,17.08
2015-05-14,0.0,59.5,17.455
2015-05-15,0.12,71.0,17.7
2015-05-16,0.53,67.5,17.564999999999998
2015-05-17,0.0,71.5,17.365000000000002
2015-05-18,0.0,70.5,17.355
2015-05-19,0.0,56.5,17.490000000000002
2015-05-20,0.03,46.5,17.54
2015-05-21,0.0,55.5,17.7
2015-05-22,0.0,60.0,17.905
2015-05-23,0.0,67.0,17.94
2015-05-24,0.0,72.0,17.915
2015-05-25,0.01,73.0,17.93
2015-05-26,0.07,72.0,18.005000000000003
2015-05-27,0.07,72.5,18.17
2015-05-28,0.0,72.0,18.365000000000002
2015-05-29,0.0,74.5,18.375
2015-05-30,1.28,75.0,18.11
2015-05-31,0.08,61.0,16.555
2015-06-01,0.0,58.0,14.73
2015-06-02,0.0,59.5,14.48
2015-06-03,0.0,61.0,15.65
2015-06-04,0.0,69.5,16.68
2015-06-05,0.0,75.0,17.119999999999997
2015-06-06,0.0,68.5,17.310000000000002
2015-06-07,0.0,75.0,17.28
2015-06-08,1.9,69.5,16.685000000000002
2015-06-09,0.0,70.0,15.315000000000001
2015-06-10,0.0,77.5,15.045
2015-06-11,0.0,79.5,16.04
2015-06-12,0.21,80.5,16.82
2015-06-13,0.0,79.5,16.94
2015-06-14,0.13,78.0,16.6
2015-06-15,0.54,79.0,16.58
2015-06-16,0.5,77.5,16.085
2015-06-17,0.75,75.5,15.350000000000001
2015-06-18,0.67,77.0,15.26
2015-06-19,0.67,73.0,13.825
2015-06-20,0.0,74.5,12.065
2015-06-21,0.27,74.5,11.920000000000002
2015-06-22,0.0,77.5,13.11
2015-06-23,0.0,75.5,14.725
2015-06-24,0.0,71.0,15.915
2015-06-25,0.85,74.5,16.424999999999997
2015-06-26,1.57,71.0,15.434999999999999
2015-06-27,0.0,66.0,12.84
2015-06-28,0.09,66.5,10.280000000000001
2015-06-29,0.21,70.0,9.57
2015-06-30,0.0,73.0,11.945
2015-07-01,0.0,70.0,14.645
2015-07-02,0.0,71.0,15.655000000000001
2015-07-03,0.07,69.5,16.175
2015-07-04,0.0,72.0,16.515
2015-07-05,0.0,72.5,16.78
2015-07-06,0.0,74.0,17.045
2015-07-07,4.43,70.5,16.33
2015-07-08,0.36,64.5,14.7
2015-07-09,0.04,70.0,13.465
2015-07-10,0.03,69.5,12.955
2015-07-11,0.01,68.5,13.79
2015-07-12,1.49,77.5,13.795
2015-07-13,1.49,74.5,13.899999999999999
2015-07-14,0.26,77.5,12.905
2015-07-15,0.0,73.0,13.335
2015-07-16,0.0,73.0,14.58
2015-07-17,3.43,79.0,15.415
2015-07-18,0.0,80.0,15.745000000000001
2015-07-19,0.0,80.5,15.815000000000001
2015-07-20,0.27,78.0,15.215
2015-07-21,0.0,75.0,15.165
2015-07-22,0.0,71.0,15.855
2015-07-23,0.0,74.0,16.42
2015-07-24,0.0,75.5,16.805
2015-07-25,0.0,77.0,16.995
2015-07-26,1.25,79.5,16.58
2015-07-27,0.01,80.0,16.105
2015-07-28,0.0,83.0,16.770000000000003
2015-07-29,0.0,81.0,17.07
2015-07-30,0.0,75.0,17.255
2015-07-31,0.0,77.0,17.48
2015-08-01,0.0,73.5,17.605
2015-08-02,0.0,76.0,17.86
2015-08-03,0.0,79.0,17.82
2015-08-04,0.0,72.5,17.86
2015-08-05,0.0,75.5,18.145
2015-08-06,0.45,70.0,18.14
2015-08-07,0.0,71.0,18.32
2015-08-08,0.0,73.5,18.25
2015-08-09,0.01,75.0,18.335
2015-08-10,0.0,78.0,18.205
2015-08-11,0.0,75.5,18.14
2015-08-12,0.0,69.5,18.13
2015-08-13,0.0,72.0,18.305
2015-08-14,0.0,74.5,18.5
2015-08-15,0.22,76.0,18.925
2015-08-16,0.11,76.5,19.380000000000003
2015-08-17,0.15,76.0,19.11
2015-08-18,0.0,74.5,18.675
2015-08-19,0.61,76.0,18.814999999999998
2015-08-20,0.0,68.0,18.61
2015-08-21,0.0,68.5,18.674999999999997
2015-08-22,0.0,70.0,18.494999999999997
2015-08-23,0.0,73.0,18.735
2015-08-24,0.0,65.5,18.705
2015-08-25,0.0,63.0,18.869999999999997
2015-08-26,0.0,70.0,18.945
2015-08-27,0.0,68.0,19.16
2015-08-28,0.0,69.5,19.235
2015-08-29,0.0,73.5,18.985
2015-08-30,0.0,78.0,19.0
2015-08-31,0.0,77.0,19.015
2015-09-01,0.0,78.0,19.095
2015-09-02,0.0,79.0,19.155
2015-09-03,0.0,80.0,19.435
2015-09-04,0.03,81.5,19.45
2015-09-05,0.0,79.0,19.215
2015-09-06,0.0,79.0,19.225
2015-09-07,0.0,80.5,19.08
2015-09-08,0.0,81.0,19.17
2015-09-09,0.18,70.5,19.29
2015-09-10,0.0,73.0,19.345
2015-09-11,0.27,61.5,19.305
2015-09-12,0.0,59.5,19.085
2015-09-13,0.0,59.0,18.92
2015-09-14,0.0,63.5,18.92
2015-09-15,0.0,68.0,19.159999999999997
2015-09-16,0.0,69.0,19.655
2015-09-17,0.0,70.5,19.535
2015-09-18,0.37,73.0,19.585
2015-09-19,0.58,64.5,18.75
2015-09-20,0.0,63.5,18.69
2015-09-21,0.0,64.0,18.645
2015-09-22,0.0,67.0,18.814999999999998
2015-09-23,0.0,69.5,19.155
2015-09-24,0.0,70.0,19.285
2015-09-25,0.0,71.0,19.47
2015-09-26,0.0,69.0,19.25
2015-09-27,0.0,69.0,19.465
2015-09-28,0.0,73.5,19.299999999999997
2015-09-29,0.27,67.0,19.28
2015-09-30,0.0,62.5,19.27
2015-10-01,0.0,58.0,19.085
2015-10-02,0.14,56.0,18.965
2015-10-03,0.06,48.5,18.85
2015-10-04,0.0,63.0,18.87
2015-10-05,0.0,65.0,18.86
2015-10-06,0.0,65.5,18.955
2015-10-07,0.0,66.5,19.235
2015-10-08,0.0,69.5,19.235
2015-10-09,0.0,58.5,19.525
2015-10-10,0.0,56.0,19.535
2015-10-11,0.0,59.0,19.775
2015-10-12,0.0,66.0,19.59
2015-10-13,0.0,57.5,19.545
2015-10-14,0.0,54.0,19.625
2015-10-15,0.0,55.5,19.68
2015-10-16,0.0,51.0,19.8
2015-10-17,0.0,43.0,19.735
2015-10-18,0.0,45.0,19.799999999999997
2015-10-19,0.0,50.5,19.64
2015-10-20,0.0,59.5,19.66
2015-10-21,0.0,63.0,19.865000000000002
2015-10-22,0.0,70.0,19.685000000000002
2015-10-23,0.0,65.0,19.775
2015-10-24,0.12,63.0,19.695
2015-10-25,0.0,54.0,19.634999999999998
2015-10-25,0.0,53.0,19.634999999999998
2015-10-26,0.0,53.0,19.57
2015-10-27,0.9,50.5,19.45
2015-10-28,0.51,54.5,19.13
2015-10-28,0.45,53.5,19.13
2015-10-29,0.0,44.0,18.990000000000002
